id;start_date;end_date;language
1;2020-12-18T15:14:11;2020-12-18T13:04:26;SPANISH
2;2020-12-17T20:04:22;2020-12-18T15:08:47;SPANISH
3;2020-12-18T10:59:41;2020-12-17T21:33:50;FRENCH
4;2020-12-18T02:17:12;2020-12-18T13:48:38;FRENCH
5;2020-12-18T11:47:30;2020-12-18T16:34:29;FRENCH
6;2020-12-18T05:39:51;2020-12-18T17:48:05;FRENCH
7;2020-12-18T07:25:11;2020-12-18T01:16:02;FRENCH
8;2020-12-18T06:21:24;2020-12-18T16:37:32;SPANISH
9;2020-12-18T05:02:33;2020-12-18T01:43:56;SPANISH
10;2020-12-18T13:14:37;2020-12-17T23:49:07;SPANISH
